,b'1993ah\t0.028488\t3',b'28\t0.223905932998\t0.128418942246'
438,0.691,0.253842244922
439,0.357,0.137721476533
440,0.721,0.187179852377
441,0.581,0.155462517843
442,0.6268,0.157227804978
443,0.818,0.26755880574
444,0.4627,0.14756880162
445,0.449,0.157063020734
446,0.688,0.165777265258
447,0.87,0.278817290376
448,0.5043,0.149577507475
449,0.591,0.306006112419
450,0.426,0.22492067105
451,0.329,0.269807401411
452,0.583,0.28648393048
453,0.519,0.314462491184
454,0.401,0.229308722315
455,0.205,0.217272003785
456,0.34,0.228190770173
457,0.436,0.21653394713
458,0.363,0.208173297091
459,0.436,0.228262759927
460,0.309,0.235823875951
461,0.342,0.21481032067
462,0.159,0.242628007812
463,0.332,0.239903276269
464,0.469,0.28315240581
465,0.239,0.204167929675
466,0.352,0.224191540842
467,0.612,0.283023414891
468,0.631,0.244974123167
469,0.645,0.234273129747
470,0.429,0.215471389689
471,0.497,0.221637712856
472,0.539,0.241797816352
473,0.561,0.306521908685
474,0.41,0.256981142148
475,0.412,0.312056381676
476,0.599,0.382165112455
477,0.619,0.247822481956
478,0.422,0.230713845858
479,0.54,0.282945441834
480,0.401,0.369893982362
481,0.218,0.222222737823
482,0.633,0.259877853306
483,0.383,0.251010174803
484,0.302,0.272346550274
485,0.34,0.231193988299
486,0.51,0.226762461825
487,0.421,0.322004955245
488,0.399,0.292952212036
489,0.493,0.2639575465
490,0.687,0.285188798534
491,0.687,0.272537782393
492,0.495,0.232347965963
493,0.603,0.278628902676
494,0.421,0.233773507359
495,0.348,0.217425302485
496,0.213,0.22335261095
497,0.344,0.209772839036
498,0.271,0.21526700069
499,0.564,0.292022400672
500,0.274,0.208670920573
501,0.181,0.227088514354
502,0.582,0.325207917744
503,0.68,0.290951926367
504,0.401,0.332838743195
505,0.416,0.303252121943
506,0.286,0.25814462102
507,0.562,0.33321544156
508,0.266,0.250227167194
509,0.314,0.242363893683
510,0.581,0.391236930244
511,0.463,0.26646445376
512,0.341,0.224504319999
513,0.631,0.234369669625
514,0.522,0.24715086884
515,0.368,0.207180966902
516,0.309,0.214863256477
517,0.528,0.302654151443
518,0.216,0.21521177477
519,0.284,0.206616021304
520,0.508,0.231767202806
